Timestamp(ms),Current(uA),D0-D7
5828,851.008,00000000
5829,843.967,00000000
5830,840.190,00000000
5831,842.117,00000000
5832,843.454,00000000
5833,843.022,00000000
5834,839.870,00000000
5835,865.908,00000000
5836,852.935,00000000
5837,844.271,00000000
5838,839.673,00000000
5839,837.698,00000000
5840,840.001,00000000
5841,842.121,00000000
5842,840.040,00000000
5843,1330.360,00000000
5844,1253.218,00000000
5845,994.511,00000000
5846,896.140,00000000
5847,888.591,00000000
5848,862.234,00000000
5849,1196.727,00000000
5850,1774.597,00000000
5851,2943.241,00000000
5852,1836.553,00000000
5853,1211.176,00000000
5854,1160.850,00000000
5855,1468.428,00000000
5856,1075.240,00000000
5857,926.676,00000000
5858,872.744,00000000
5859,859.490,00000000
5860,856.054,00000000
5861,848.578,00000000
5862,845.430,00000000
5863,1300.500,00000000
5864,1309.148,00000000
5865,1013.411,00000000
5866,902.864,00000000
5867,865.884,00000000
5868,849.946,00000000
5869,843.699,00000000
5870,846.006,00000000
5871,842.740,00000000
5872,856.655,00000000
5873,849.166,00000000
5874,842.473,00000000
5875,843.807,00000000
5876,841.080,00000000
5877,841.363,00000000
5878,842.486,00000000
5879,842.490,00000000
5880,841.144,00000000
5881,843.321,00000000
5882,841.585,00000000
5883,1262.276,00000000
5884,1319.523,00000000
5885,1394.562,00000000
5886,1378.641,00000000
5887,2798.039,00000000
5888,3059.578,00000000
5889,1666.987,00000000
5890,1144.940,00000000
5891,956.982,00000000
5892,885.814,00000000
5893,857.482,00000000
5894,848.389,00000000
5895,839.868,00000000
5896,865.411,00000000
5897,853.212,00000000
5898,844.505,00000000
5899,843.371,00000000
5900,840.976,00000000
5901,843.269,00000000
5902,845.136,00000000
5903,1334.087,00000000
5904,1284.456,00000000
5905,1005.584,00000000
5906,901.908,00000000
5907,861.957,00000000
5908,874.961,00000000
5909,851.055,00000000
5910,847.215,00000000
5911,839.826,00000000
5912,841.967,00000000
5913,841.032,00000000
5914,839.775,00000000
5915,842.620,00000000
5916,841.559,00000000
5917,841.385,00000000
5918,844.140,00000000
5919,842.345,00000000
5920,857.721,00000000
5921,852.871,00000000
5922,843.922,00000000
5923,1752.420,00000000
5924,1605.727,00000000
5925,2884.720,00000000
5926,2128.625,00000000
5927,1319.107,00000000
5928,1017.193,00000000
5929,910.575,00000000
5930,866.839,00000000
5931,850.469,00000000
5932,846.161,00000000
5933,858.100,00000000
5934,846.679,00000000
5935,843.769,00000000
5936,840.346,00000000
5937,1029.934,00000000
5938,909.320,00000000
5939,868.152,00000000
5940,851.040,00000000
5941,841.350,00000000
5942,842.010,00000000
5943,1269.191,00000000
5944,1313.456,00000000
5945,1034.574,00000000
5946,914.668,00000000
5947,866.675,00000000
5948,850.550,00000000
5949,845.531,00000000
5950,843.758,00000000
5951,839.431,00000000
5952,836.937,00000000
5953,841.224,00000000
5954,842.066,00000000
5955,840.756,00000000
5956,841.893,00000000
5957,861.381,00000000
5958,849.165,00000000
5959,845.692,00000000
5960,1174.231,00000000
5961,1930.789,00000000
5962,3126.072,00000000
5963,4025.043,00000000
5964,2295.585,00000000
5965,1378.321,00000000
5966,1038.762,00000000
5967,912.973,00000000
5968,870.615,00000000
5969,874.768,00000000
5970,852.827,00000000
5971,845.419,00000000
5972,841.219,00000000
5973,843.417,00000000
5974,839.914,00000000
5975,842.241,00000000
5976,841.816,00000000
5977,843.732,00000000
5978,841.612,00000000
5979,840.200,00000000
5980,843.164,00000000
5981,866.205,00000000
5982,852.913,00000000
5983,1366.015,00000000
5984,1288.891,00000000
5985,1008.093,00000000
5986,904.225,00000000
5987,865.705,00000000
5988,850.564,00000000
5989,842.393,00000000
5990,841.844,00000000
5991,1175.240,00000000
5992,1899.656,00000000
5993,3122.050,00000000
5994,2548.288,00000000
5995,1478.068,00000000
5996,1074.729,00000000
5997,929.227,00000000
5998,872.771,00000000
5999,848.549,00000000
6000,842.210,00000000
6001,843.637,00000000
6002,841.173,00000000
6003,1325.772,00000000
6004,1295.889,00000000
6005,1010.134,00000000
6006,920.168,00000000
6007,871.314,00000000
6008,850.954,00000000
6009,845.002,00000000
6010,842.707,00000000
6011,842.307,00000000
6012,841.999,00000000
