t_start_ms,t_end_ms,duration_ms,peak_ua,mean_ua,energy_total_uj,energy_marginal_uj,type
8243.0,8245.0,3,1384.792,1220.2346666666665,10.982111999999999,3.4090079999999996,inference
8257.0,8265.0,9,3113.171,1654.3407777777775,44.66720099999999,21.947889,inference
8283.0,8285.0,3,1395.615,1231.5673333333332,11.084106,3.5110019999999995,inference
8293.0,8298.0,6,2536.908,1644.8463333333336,29.607234000000005,14.461025999999997,inference
8303.0,8305.0,3,1389.422,1220.5276666666666,10.984749,3.4116449999999996,inference
8323.0,8325.0,3,1352.588,1212.3586666666667,10.911228,3.3381239999999996,inference
8331.0,8336.0,6,2763.121,1721.2026666666668,30.981648000000003,15.835440000000002,inference
8343.0,8345.0,3,1378.293,1202.5633333333333,10.82307,3.2499659999999997,inference
8363.0,8368.0,6,3004.881,1841.7678333333333,33.151821,18.005612999999997,inference
8383.0,8384.0,2,1302.453,1263.368,7.580208,2.531472,inference
8395.0,8405.0,11,3353.974,1540.3047272727274,50.83005600000001,23.062008000000002,inference
8423.0,8424.0,2,1403.836,1302.1855,7.813113,2.7643770000000005,inference
8429.0,8434.0,6,2599.952,1641.4001666666666,29.545203,14.398994999999998,inference
8443.0,8444.0,2,1376.311,1295.6,7.773599999999999,2.7248639999999997,inference
8463.0,8470.0,8,3332.205,1781.6508749999998,42.759621,22.564676999999996,inference
8483.0,8484.0,2,1407.685,1304.6100000000001,7.827660000000001,2.778924,inference
8499.0,8505.0,7,3038.976,1810.6190000000001,38.022999000000006,20.352422999999998,inference
8523.0,8524.0,2,1392.027,1299.938,7.799628000000001,2.750892,inference
8533.0,8538.0,6,3233.854,1861.4921666666667,33.506859,18.360650999999997,inference
8543.0,8544.0,2,1359.347,1287.1545,7.722927,2.674191,inference
8563.0,8564.0,2,1380.147,1303.2579999999998,7.819547999999999,2.7708119999999994,inference
8567.0,8572.0,6,2613.363,1600.509,28.809162,13.662953999999997,inference
8583.0,8585.0,3,1394.046,1216.3726666666669,10.947354,3.37425,inference
8601.0,8606.0,6,3685.108,2078.837666666667,37.419078000000006,22.27287,inference
8623.0,8625.0,3,1374.095,1219.0936666666666,10.971843000000002,3.398739,inference
8635.0,8645.0,11,3315.795,1543.9499090909092,50.950347,23.182299000000004,inference
8663.0,8665.0,3,1363.544,1208.3423333333333,10.875081,3.3019770000000004,inference
8670.0,8675.0,6,3566.069,2165.9931666666666,38.987877,23.841669000000003,inference
